# break_thresholds=0.100000,0.200000,0.300000,0.400000,0.500000
side_scale,threshold,break_time_or_T,max_rel_change,break_pair
1.00408163,0.300000,5.03600000,1.20148251,0-1
1.00408163,0.400000,5.14400000,1.20148251,0-1
1.00408163,0.500000,6.25000000,1.20148251,2-3
1.00680272,0.100000,4.51000000,1.16798828,0-1
1.00680272,0.200000,4.94200000,1.16798828,0-1
1.00680272,0.300000,5.09000000,1.16798828,0-1
1.00680272,0.400000,5.20600000,1.16798828,0-1
1.00680272,0.500000,6.38200000,1.16798828,2-3
1.00952381,0.100000,4.56600000,1.09026410,1-2
1.00952381,0.200000,5.00400000,1.09026410,1-2
1.00952381,0.300000,5.16200000,1.09026410,1-2
1.00952381,0.400000,5.28600000,1.09026410,1-2
1.00952381,0.500000,10.56400000,1.09026410,0-3
1.01224490,0.100000,4.79400000,1.07218885,1-2
1.01224490,0.200000,5.07800000,1.07218885,1-2
1.01224490,0.300000,5.26000000,1.07218885,1-2
1.01224490,0.400000,5.38200000,1.07218885,1-2
1.01224490,0.500000,9.31400000,1.07218885,1-3
1.01496599,0.100000,4.92000000,1.04683875,0-1
1.01496599,0.200000,5.16800000,1.04683875,0-1
1.01496599,0.300000,5.38200000,1.04683875,0-1
1.01496599,0.400000,5.49600000,1.04683875,0-1
1.01496599,0.500000,21.31000000,1.04683875,2-3
1.01768707,0.100000,5.02200000,1.20189488,1-2
1.01768707,0.200000,5.29600000,1.20189488,1-2
1.01768707,0.300000,5.52200000,1.20189488,1-2
1.01768707,0.400000,5.62800000,1.20189488,1-2
1.01768707,0.500000,16.62400000,1.20189488,0-3
1.02040816,0.100000,5.11800000,1.13358283,0-1
1.02040816,0.200000,5.50000000,1.13358283,0-1
1.02040816,0.300000,5.67600000,1.13358283,0-1
1.02040816,0.400000,5.77800000,1.13358283,0-1
1.02040816,0.500000,6.96400000,1.13358283,2-3
1.02312925,0.100000,5.21200000,1.24150451,0-1
1.02312925,0.200000,5.69400000,1.24150451,0-1
1.02312925,0.300000,5.84600000,1.24150451,0-1
1.02312925,0.400000,5.96600000,1.24150451,0-1
1.02312925,0.500000,7.15000000,1.24150451,2-3
1.02585034,0.100000,5.31600000,1.20495666,1-2
1.02585034,0.200000,5.88000000,1.20495666,1-2
1.02585034,0.300000,6.07000000,1.20495666,1-2
1.02585034,0.400000,6.20400000,1.20495666,1-2
1.02585034,0.500000,13.15000000,1.20495666,1-3
1.02857143,0.100000,5.84400000,1.16027293,1-2
1.02857143,0.200000,6.11000000,1.16027293,1-2
1.02857143,0.300000,6.37200000,1.16027293,1-2
1.02857143,0.400000,6.48000000,1.16027293,1-2
1.02857143,0.500000,21.56600000,1.16027293,0-3
1.03129252,0.100000,6.03000000,1.18971609,1-2
1.03129252,0.200000,6.53800000,1.18971609,1-2
1.03129252,0.300000,6.69200000,1.18971609,1-2
1.03129252,0.400000,6.81600000,1.18971609,1-2
1.03129252,0.500000,8.12200000,1.18971609,0-3
1.03401361,0.100000,6.21600000,1.06165892,1-2
1.03401361,0.200000,6.89200000,1.06165892,1-2
1.03401361,0.300000,7.17200000,1.06165892,1-2
1.03401361,0.400000,7.28400000,1.06165892,1-2
1.03401361,0.500000,22.86200000,1.06165892,2-3
1.03673469,0.100000,6.96000000,1.14593057,1-2
1.03673469,0.200000,7.58400000,1.14593057,1-2
1.03673469,0.300000,7.79000000,1.14593057,1-2
1.03673469,0.400000,7.93400000,1.14593057,1-2
1.03673469,0.500000,15.36600000,1.14593057,0-3
1.03945578,0.100000,7.89400000,1.16825867,1-2
1.03945578,0.200000,8.66200000,1.16825867,1-2
1.03945578,0.300000,8.96200000,1.16825867,1-2
1.03945578,0.400000,9.07000000,1.16825867,1-2
1.03945578,0.500000,12.07800000,1.16825867,0-3
1.04217687,0.100000,9.61200000,1.08531587,0-2
1.04217687,0.200000,10.61000000,1.08531587,0-2
1.04217687,0.300000,10.79400000,1.08531587,0-2
1.04217687,0.400000,10.90200000,1.08531587,0-2
1.04217687,0.500000,21.53200000,1.08531587,0-1
1.04489796,0.100000,7.89200000,1.22858882,0-1
1.04489796,0.200000,8.64600000,1.22858882,0-1
1.04489796,0.300000,8.97400000,1.22858882,0-1
1.04489796,0.400000,9.08400000,1.22858882,0-1
1.04489796,0.500000,9.18000000,1.22858882,0-1
1.04761905,0.100000,7.13800000,1.19581832,0-1
1.04761905,0.200000,8.29800000,1.19581832,0-1
1.04761905,0.300000,8.45800000,1.19581832,0-1
1.04761905,0.400000,8.59000000,1.19581832,0-1
1.04761905,0.500000,14.25000000,1.19581832,1-2
1.05034014,0.100000,7.09800000,1.46436310,0-1
1.05034014,0.200000,7.96600000,1.46436310,0-1
1.05034014,0.300000,8.29400000,1.46436310,0-1
1.05034014,0.400000,8.40000000,1.46436310,0-1
1.05034014,0.500000,11.59600000,1.46436310,0-1
1.05306122,0.100000,6.38400000,1.07543547,1-2
1.05306122,0.200000,7.88000000,1.07543547,1-2
1.05306122,0.300000,8.24800000,1.07543547,1-2
1.05306122,0.400000,8.36000000,1.07543547,1-2
1.05306122,0.500000,8.45400000,1.07543547,1-2
1.05578231,0.100000,6.38400000,1.38036700,0-1
1.05578231,0.200000,7.91600000,1.38036700,0-1
1.05578231,0.300000,8.30400000,1.38036700,0-1
1.05578231,0.400000,8.41400000,1.38036700,0-1
1.05578231,0.500000,8.51400000,1.38036700,0-1
1.05850340,0.100000,5.59800000,19.74601589,1-2
1.05850340,0.200000,8.23600000,19.74601589,1-2
1.05850340,0.300000,8.44400000,19.74601589,1-2
1.05850340,0.400000,8.55400000,19.74601589,1-2
1.05850340,0.500000,12.61600000,19.74601589,0-3
1.06122449,0.100000,0.48800000,1.34195940,0-3
1.06122449,0.200000,8.49800000,1.34195940,1-2
1.06122449,0.300000,8.65800000,1.34195940,1-2
1.06122449,0.400000,8.83200000,1.34195940,1-2
1.06122449,0.500000,8.95000000,1.34195940,1-2
1.06394558,0.100000,0.46800000,1.04855061,1-3
1.06394558,0.200000,8.76000000,1.04855061,0-2
1.06394558,0.300000,9.13600000,1.04855061,0-2
1.06394558,0.400000,9.25800000,1.04855061,0-2
1.06394558,0.500000,9.34600000,1.04855061,0-2
1.06666667,0.100000,0.45600000,1.17733145,0-3
1.06666667,0.200000,9.51000000,1.17733145,1-2
1.06666667,0.300000,9.72600000,1.17733145,1-2
1.06666667,0.400000,9.91800000,1.17733145,1-2
1.06666667,0.500000,10.01600000,1.17733145,1-2
1.06938776,0.100000,0.44800000,1.23842036,2-3
1.06938776,0.200000,10.54600000,1.23842036,1-2
1.06938776,0.300000,10.96000000,1.23842036,1-2
1.06938776,0.400000,11.07800000,1.23842036,1-2
1.06938776,0.500000,11.16800000,1.23842036,1-2
1.07210884,0.100000,0.44000000,20.12017669,2-3
1.07210884,0.200000,13.81800000,20.12017669,1-2
1.07210884,0.300000,13.98800000,20.12017669,1-2
1.07210884,0.400000,14.20000000,20.12017669,1-2
1.07210884,0.500000,14.30600000,20.12017669,1-2
1.07482993,0.100000,0.43400000,1.19829774,2-3
1.07482993,0.200000,30.29800000,1.19829774,0-1
1.07482993,0.300000,30.95200000,1.19829774,0-1
1.07482993,0.400000,31.09000000,1.19829774,0-1
1.07482993,0.500000,31.20600000,1.19829774,0-1
1.07755102,0.100000,0.42800000,0.96286543,0-3
